"IP Address","MAC Address","Hostname","Room","Alive","IP Reserved","Connection","Source","First Seen","Last Seen","Manufacturer","Category","Description"
"CGNAT (WAN)","24:5e:be:6d:25:88","QNAP-NAS-eth0","Gym","N/A","Yes — DHCP","Wired","AdGuard only","04 May 2026","—","QNAP Systems Inc.","Infrastructure","QNAP TS-264 — WAN port. Gets 100.64.x.x CGNAT IP from Starlink. AdGuard reservation kept for hostname logging only."
"192.168.0.73","78:3e:53:a1:dc:f2","Sky Q Mini — Eddy","Eddy","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","BSkyB Ltd","Entertainment","Sky Q Mini box — Eddy room. Wired. HA: device_tracker.eddy_sky_mini_studio 'Sky Q Mini — Eddy', area: Eddy."
"192.168.0.74","14:49:e0:0a:58:63","Samsung TV — Master Bedroom","Master Bedroom","Yes","No","Wireless","ARP only","05 May 2026 12:18","05 May 2026 12:18","Samsung Electronics","Entertainment","Samsung Smart TV — Master Bedroom. Ports 80/443/55000 open (55000 = Samsung TV Remote API). Paired with Sky Q Mini (.51). HA: device_tracker.samsung_tv_master_bedroom 'Samsung TV — Master Bedroom', area: Master Bedroom."
"~192.168.0.76","3a:a0:4d:52:b8:7d","—","?","Dead","No","Wireless","IP Scanner","—","—","—","Unknown","Unknown — randomised MAC. Offline; last seen at .76."
"192.168.0.78","02:eb:43:1c:19:40","czkawka-dedup","Lounge","Dead","Yes — DHCP","Wired","AdGuard only","04 May 2026","—","—","Computers","czkawka duplicate-file cleaner — Docker container on QNAP (virtual MAC). Container stopped."
"192.168.0.80","94:9f:3e:72:fd:cc","SonosKitchen","Kitchen","Alive","Yes — DHCP","Wireless","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Sonos Inc.","Audio","Sonos speaker — Kitchen."
"192.168.0.87","30:cd:a7:3d:44:4f","Samsung C460 Colour Printer","Gym","Alive","No","Wireless","ARP + AdGuard","05 May 2026 10:44","05 May 2026 13:41","Samsung Electronics Co. Ltd.","Printers","Samsung C460 Series colour laser printer — user-confirmed. HA SyncThru integration in Gym area. Status: online, 0 alerts, tray Ready. Toner: Black 67%, Cyan 77%, Magenta 77%, Yellow 77%."
"192.168.0.89","44:b7:d0:e5:06:c3","neo-hub","Gym","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","Microchip Technology Inc.","Smart Home","Hive Neo Hub gen 2 — British Gas smart heating controller. Ethernet connected."
"192.168.0.90","cc:ba:bd:87:2f:74","Deco X1500 Main Node","Gym","Alive","No","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","TP-Link Systems Inc.","Network","TP-Link Deco X1500 — main mesh node. Wired directly to QNAP NAS (DHCP/DNS). Two satellite APs: .99 (Front Ensuite Bedroom) and .100 (Master Bedroom). HA: device_tracker.x1500 'Deco X1500 — Main Node', area: Gym."
"192.168.0.92","d6:fc:da:83:33:d8","SDP Apple Watch","Family Room","Alive","No","Wireless","ARP only","05 May 2026 10:44","05 May 2026 13:34","Apple","Mobile","SDP Apple Watch — user-confirmed. Hardware MAC: 3C:50:02:3A:8E:41; current Wi-Fi MAC randomised (d6:fc:da:83:33:d8). HA: device_tracker.watch_2, area Family Room. Linked to person.simon — Simon's presence tracks Watch + iPhone 14 Pro Max."
"192.168.0.68","e8:cf:83:8e:0b:69","host.docker.internal (PROMAX)","Lounge","Alive","Yes — DHCP","Wired","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Apple Inc.","Computers","Apple Mac Pro workstation. Docker Desktop running."
"192.168.0.69","ae:4f:41:d8:78:ba","iphone","—","Alive","No","Wireless","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","—","Mobile","iPhone — randomised MAC (iOS Private Wi-Fi Address)."
"192.168.0.70","c6:6f:be:a5:27:fd","Family-iPad","—","Dead","Yes — DHCP","Wireless","AdGuard only","04 May 2026","—","Apple Inc.","Mobile","Family iPad — DHCP reserved but iOS randomises MAC per network. Update reservation in AdGuard when next connected."
"192.168.0.72","30:d0:42:ff:9e:0f","MAINDESK","Lounge","Dead","Yes — DHCP","Wired","ARP + AdGuard","04 May 2026","—","Dell Inc.","Computers","Dell Windows desktop workstation. Currently offline."
"192.168.0.76","54:af:97:61:55:37","Sub Woofer P100","Family Room","Yes","Dynamic","Wireless","ARP","05 May 2026 16:24","05 May 2026 16:24","TP-Link Systems Inc.","Smart Home","TP-Link Tapo P100 smart plug. Named 'Sub Woofer' in Tapo app. HA: tplink integration (auto-discovered)."
"192.168.0.98","b8:e9:37:ab:29:b6","SonosBed","Master Bedroom","Alive","Yes — DHCP","Wireless","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Sonos Inc.","Audio","Sonos speaker — Bedroom."
"192.168.0.99","cc:ba:bd:87:2f:44","Deco X1500 AP — Front Ensuite Bedroom","Front Ensuite Bedroom","Alive","No","Wireless","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","TP-Link Systems Inc.","Network","TP-Link Deco X1500 — satellite/access point node. Wireless backhaul to main node (.90). HA: device_tracker.deco_front_bedroom 'Deco X1500 — Front Ensuite Bedroom', area: Front Ensuite Bedroom."
"192.168.0.100","cc:ba:bd:87:2f:04","Deco X1500 AP — Master Bedroom","Master Bedroom","Alive","No","Wireless","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","TP-Link Systems Inc.","Network","TP-Link Deco X1500 — satellite/access point node. Wireless backhaul to main node (.90). HA: device_tracker.deco_master_bedroom 'Deco X1500 — Master Bedroom', area: Master Bedroom."
"~192.168.0.121","00:8a:76:9c:b1:8a","iPad","—","Dead","No","Wireless","IP Scanner","—","—","Apple Inc.","Mobile","Older Apple iPad with real MAC (predates iOS Private Wi-Fi). Offline; last seen at .121."
"192.168.0.144","f0:23:b9:eb:12:f9","Fingbox","Gym","Alive","Yes — DHCP","Wired","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Fing Ltd.","Infrastructure","Fing Fingbox — network monitor and security scanner. HTTP: Fing Device Recognition captive portal."
"192.168.0.150","24:5e:be:6d:25:89","CALGARYHOUSE (QNAP-NAS-eth1)","Gym","Alive","Yes — Static OS","Wired","ARP + AdGuard","04 May 2026","05 May 2026 12:18","QNAP Systems Inc.","Infrastructure","QNAP TS-264 NAS — LAN gateway & Container Station host. Containers: AdGuard Home (DHCP/DNS :3000), Tailscale VPN, Home Assistant 2026.4.3 (:8123). QTS hostname: CALGARYHOUSE. Shares: Calgary House, Empiridum, FamilyPotter, Container, OneDrive, Multimedia."
"~192.168.0.193","a0:d3:c1:03:e3:9f","A3FAMILYPOTTER","?","Dead","No","Wireless","IP Scanner","—","—","Hewlett Packard","Printers","HP A3 colour printer/MFP. Offline; last seen at 192.168.0.193."
"192.168.0.197","78:3e:53:80:8a:fa","Sky Q Main Box","Family Room","Alive","Yes — Static OS","Wired","ARP + AdGuard","05 May 2026 10:44","05 May 2026 11:32","BSkyB Ltd","Entertainment","Sky Q Main Box — primary satellite receiver. Fixed IP set on device (Static OS). Wired for reliable recording and streaming. Internet via Starlink (replaced old Sky ER110 ADSL router). HA: remote.sky_q_main_box via sky_remote integration, area: Family Room."
"192.168.0.67","94:9f:3e:1f:fa:ec","SonosEddy","Eddy","Alive","Yes — DHCP","Wireless","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Sonos Inc.","Audio","Sonos speaker — Eddy's bedroom."
"192.168.0.93","b8:e9:37:ab:36:80","SonosLounge","Lounge","Alive","Yes — DHCP","Wireless","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Sonos Inc.","Audio","Sonos speaker — Lounge."
"192.168.0.94","b8:e9:37:ab:29:ec","SonosGym","Gym","Alive","Yes — DHCP","Wireless","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Sonos Inc.","Audio","Sonos speaker — Gym."
"192.168.0.95","b8:e9:37:ab:32:00","SonosDining","Dining Room","Alive","Yes — DHCP","Wireless","ARP + AdGuard","04 May 2026","05 May 2026 11:32","Sonos Inc.","Audio","Sonos speaker — Dining room."
